old                                      new
ef8984b5cebdbdbe46d1534d61498e7ae1541bbb 6bf5348d616755b03d072e304a557791d2b3fa55
acd47ba4df297593b2812bc9e26cf08970f53586 a4277d6638eb27a1980fcb44b2bce8864932aa95
b06012767c0dabfd985efdfcb1390f165fc36fb2 08f28146af41e977eab22920947689a78a54944e
6570b603ba3a8982fbbd1c90d6be4403aea75284 699e444da7ced5f6411f1f8bc0292aa5daefcbbc
12a33fb07eca34785fe693c614208767a622b89e da74889affbb2e5e7e19588aa748b9040d0c8cdf
6da54cabac97eea19c784bfbc5d565a64cc83187 5bc091a3ed559f17737be5c86b5aa0a333a50315
1ae09be830f3e01e3d40f21dc9fdecf640c4a291 fae475302efcdfeabc7b2cfa9397328e58e5ae0e
813ef63736a92822774d32d2d2db1fa093607d47 4e5ae414ac9ad1e95ad4f895ce1c9b1ef9e2b3b4
7155df153a9e71f864ffcbb5e6295ca54e1bf3b9 64e0e07684242a4bdc9439a4125c46244b6e2f67
518c126eecb9844b57ee9bdafc5beb13748e4e2a 9a3ebab88c4934e972a0e941f3688070d3c65345
cc65769317ad3c1902349c6b9af11a118bb7a808 59e3f69c5ce5e1aca4061425bf3249b86aa59b6f
2b430e880f0ee4b8a343c401e6ac25a9166d539c 20769d2cfb60473874eb0e635653885ac80cabf0
276ed423acc53987d542a4bda9aca375aed3e053 e25300d3777bf8b313ad8fc1d5529839d610b2e4
2e5d44126cbf80bbd836697ff9f6b794c788fae8 0131f025a0bda36454eeabed4265730bdae08728
8f8ce75774459978124c68d33b279f73672ae84c 3636b5cc7f3fca9e324423b5ea5194e0b9efe1fe
e747ee5c0b364a8901464fee7f69d8caf6c4c16a 1814141ee3f788388495a9d31d8a98f4176e2884
aa67f8b98a954a3e360166a689a6cfed8d6a5934 53b1efe8e4edaa146e42202f85f847cd87d3bf19
1209b73747d01d87b4568f46fdbcd4c625c9091f b95e8564a2d1369cbddb8bd8ac250f1f5bbc66e3
94026868f3710e18b178d54548ba395173dffa43 8b2c2bad5e1afbd8bb6396198d399cc38a5018cf
f38d3b1071c99c55471cdcd80501d06eb806233a d57fad086fd83d2b0ad31ebf9dea8ad3cf248218
be342df4845ff8efb7003ef290857883a061388a 64d1c39837f60a225a9ac4be77aaf0243b8a7028
3b74261a5cbd3899592d8d2d8ce98f67f169afbf 7e8f94e11ddb8f1583452ff79909ec485a1f306b
742b18ad7cc20cd04a5d18df61e2073f86c73b7d c07aa317b2f7029035110cab021637dcf17acf28
88b91dd1b36f6cb2c31c70cfdfe4cfbedabe3437 3ace98cef062d3331a267e5414b5da30aaea4a4a
1518e7e6409bc5347a3af09ef56c47b100b8ba00 c18cbcce2e3b30f9a25158ac7c62b9a5e3733014
f2d1782dca867d1f9e76d419aae515b5bdaa6e84 317d678d0be749b99695d66cb252ad47afccb8f4
aae276dfd95c4a1615aab678306cf65fee933d26 0c02f7cd67418a563533f91c6898c62968d62543
564fb4929b10724f272abc985323d362877a3664 1d951c4d819fb728819e44cefe969b0199bfd596
3fee7a3674fc0dd9aff8e29626cca358f9e83b64 cc7dc9db8bfcfcc37503533bcc458efba8c4f521
67195166502171bd8089a1677c1d4c5c32af049c eb2b60ccf20ce2b0939517c24915e78b308ca446
9c2b2de212da1f6840f24e6b7902d2bfeb1d6b97 7659bfd0a712441a734a292ec27c3dd5f1012134
4f61536164d945c0be83ba02ec5f9bfd06382708 0d68005bfd0fa5e913b77cc4ea5e57eb19b17e14
a66e92c1ed15a7f29109dc0af74b1705dc1b4ba6 db230975b4f10686ff990b40ecf81901f6edc754
d3730b69945ee730d99032e0abdad22513819dfa 80237e0c294f67ca070461bf3a22779a9db8b6ea
5d47a35b5c7c57d1a97dcbaf25548a576e849341 cd2774bb153b3cc9bf112762f9601950e8e20d4e
17127356b8196412587e6a09db222cbadd2f6dac 31be8e3f8d6b500121f71a30a859da7900e7aaac
3b35af3ac20691c1d73ee7692d8a3911a34710fd c0ea09c79e5d6f50a4285cbdbad5651212e265a5
8d2590f95c74e1886c58ba2eebdda2db805a58a3 8d4d1df846206af530d9d08abec9d38ee04a0221
62af057ba5c66f378fe005ce233c6f4535ef79c6 e81a7ead895689765078412c535dd092eaa7138f
a6a368447077af2c589463afcdd451c364eb14fa e3ae68709a273b9504e5a1308eba5a0172d494ff
9d7dbdc1de69f54893045938e6df251a34a5b35c 224cc38a551e79ec82a5fdac61cb44a30aa1d937
5234a874566de1e0d63a3ecef509f11bf77c9ce7 1641a2ac996959f7ad9d08f3e79cce0b229eb17c
479e6b545f58378f8b565eddb0b324a9e6307c33 d7054a2a2d0dbb11189fe64999ef5d9b276baa06
2fbedad3d7f24f77efa8a3afd276c3661ba28392 46012e393504b8fa62660be9a76ea2d43a2e5390
b8bdc176490eda844c8933a9de2e9dff08f68278 f4b19b2f9ec69bd1b0a61eeba886a312746319ae
4245552cbcfe6d94237b31491478f7adf00924d4 47cd0e927a751de10f8d241c03d6293bbf4edd9e
fe5a75340c674b3167bb6ba872c1b0ddc08d5f73 aba39f8ef00b36ff035c9f514568df46cef7b3e4
9fad018d63e50dcb4546babce8dbe173e3af8290 7da111102b64f5428a75832e3e768bb91d61cc1c
b7ba56d13e40935ab834513bbd04bc4993140db4 2d5103d381e622810c6b7a8fce44610fc8002615
1c5d1c32df060d3562e4a0b5a333a00a6d5bfc1e 3cb9576ad3b176f2946c3ce0196e4d31a8edbae0
a992fb645919d3815778f3d8e06a8547d4705663 bde0991c99364c7797a36607c1e642502f3dc769
fe4315ad7735c8fd0587d305684a2d18bbe5dd09 6364bdcbdd108d18d71a310e38053c50f6ab48bc
0c91d7c5dfed2d23abb18b86ed9018f3581d5250 21a7b82bf23b773f433d9dee49f293f663ddccbf
815f6a5a2213175e399281f46f33fccec2b91926 5ef0bd8b24f31c110ee3e5882531f4918619318c
92b3f31ef0d80e1a39332a6587ff4fae8fc96ffd 0f9d4ad06acd65a0e124ebc95968275b904dc154
