old                                      new
7bc9d507ce957eb1f0b2b6fc9c2fff8b84508206 e8aba78d3ecda570ae1e96a0466d6bf04e89d18a
f87ac08c6171e458a85c8b683274bdbcb0325e44 c2235f8592befaa570c85b6f204ad75d9e4d8bde
da5f94bb3cc57e62dbac95aab047189104b9d2ca 3a6e202f942f05178197e8fda193d0682815daaa
5b87a62847c9e17d9a7f01fc361144805e8dea62 2e60118a3327fe8474f61fb9d2cc5a4cbe999d37
66bcc925e9d9d5dac2b2583c4f9eb9359e9432ce 8311f51314cc9112ed70bae303612a049b5bece9
c48dab3be5cff5802079d1a3c2bc60c450315053 8c7c909065ba285fb017f3ec3b4b1cecb7681f80
f63a2db61e145db37c9a8a9aebc861b2c8421234 344c8492a1a98622d85048c58a0945ea4451df13
adaa822e49f688b2a48998c9b6186900fb29c257 96ce61c941e80461d57ae626e9bbaca8c8ab0b21
14b5e9e13d5bff403935f1f08984d44b700507c2 394c36f98c82bb7707a3738504133e082b555730
f813623c0d4a5709cc92a019cc41643a48e2d7ad 5fc434ec2a80d5eceb7683647021d74952d4eaaf
1c3fd94f639b47b92da7f168596021b7724f31f7 020471a81779e7f2f23b1aff5589adc1c1aa98fc
cfc90fd35490ccf246161ba30ff74dedc84d24b9 ecc83f4e8a7b27d53388b03ca275b69a28bf247f
dbc6d36e6ee7b7ee56c8e69e00993d5716d88fa9 4e0bb422f9057412ee458e4c302b4527cbebd9ba
398058c7c16484c4bc13a73c84c78661b3dc3a56 969441e3bc62a63c5bae563f7bdcb44cdeed3c15
fa9aef10e9500e675cd1b1801fc0e3dd48797885 17003be4bf15e7c331cfaead066b7db2642c2271
c8d5d8deb031d0ad53bf6d52b56a23ffbbd151eb 379f5c9425521803add3630444c23b25168aa19d
df633e8002853fb3b8a9602dee3bfee6e4403ee9 33827fbc3202cbaa12e11ac7b878c0ea0f4d9307
f9c506d17a5ef1c785998097db3de2a04bdddf6c 0dbedc485a1ff3a84c4324c6b91560246acce926
7c94061122457cd30beaa2dd1d1fc423406ed420 6eebae7b976e96338106bec979422801ecbcec0e
411747a43dd5d135fc5fe8080501514f31a6d0f5 5f04db7697691d9df690cf51092bba2109515687
b6d253e54dde34f5f7ad27a54b2bde220eb56c44 5c438eb2082b9bdbe3c9975fec9f42d06d0844d1
3d407a2307f64eace8e8fd0e4845ede31d3c1cf0 c7d89eacbbc1805b1b40eda28302921d89ac5919
44a04817c6229d0b5fe974f38a3f10fed58a1613 76e4c61cfa723aa37f80d1d54351b5cc132504f2
350a3c3fa188471df8a15d03d2d1b220483c77b2 c570b1555f57a4f80a9ceb7dbdc7173fcea7fcfa
d293a66042505db5bce4985b0acc23a997b2f675 759e9c33ba459dbc6acae3880bf937f69c427f64
920491cd2b15977f2ab9b8fb6dee0e59b4d15bbb 803dcf4644c359a51c856038667c2c57772ccab6
792754f277a56258f3fb640f08905985b305a14e 19251da87e2152cb5a0d23ca57b20219dd9e118e
1c8471bd74621e559d034fe03f6f2c84da64f5e3 b48ba98f9639a1b018a40aa34decbd3bacef9986
89918ece966f3ba5fb38d760e888d7bc07a69e97 7c345df7e20e46b4ef1d2800e1e65e37be2384bd
91b0944c4a89c695ca98eeec0c18c4f394722922 5837e68c823b73b9c85c1468e3fb0982ceb428b4
a13c595d1587d66f6d95aef93f8db4094564c90a db9a3e44b4fe6c25efbb5971e7d7d156b5f70594
3a2db2b83c5b76d2041f7692a431e685f990f846 144a9336ac75c5d376331b8a831211cddc69e00a
74b0b9f85935dc44c41edcbf399629e1119db594 ce3c55517c2b48f2c2c114ca3b34c4a741f020e2
6c9847679fd1873b811649e1dfbae830c12c7e62 94c2098c65f72ea7226e135820b3fac0059f4774
c1e75e8447732b5c5cc4ccf15cb4ad46f59ad3db 4fff4ebd8423705993fc1a8916e450e04138e543
cbaeb3da611abb45f4fa35156058ac9b7a62b0d3 4da13725a3673391a5645a6f70fc6ff5dbf38fda
c5dcc6b08aad32b51bcba347fac6952d10b82650 0a922c95df81209fcc4bf5dd603899a100eb4dc2
b1ae27502e02e59a3bb91bbd1f60360a9cfc3f29 3bfc18d78809dbd4b7fcd0b2d0fa7ad95346de48
de09d5f09ece6fd11af461808bc7bcbea2fcec53 e2741358ac6eb09458fd7412292f74e24112259f
5ff661e148fe6de66eaf28168ceb2f05ad3d6208 f63309501391fc230b785145f517649ae78e806b
539081632a91cfbacbcaab295742cf06aae17548 684aac746c46a8df9060a74e7d4ac00ce5d0dd7e
32c73cafa5ef7b8ab3875a8acb5e012e2869710c 68009d73a9cb6758b5680aa3a4426e2541d2bfeb
37c81d41b7246b7e349ddddb3dddd7b196635d78 894e444e90a06f93cebe4e62e2d0d4f621fa6442
0abe4f62afa1aca1c565d54dc71337b7086a3a04 7128f15ae23ca74d16d6ea4784b768bd404bae58
88febb9c510ce06583ed20197694e2a5cedc0c71 5649d002a397fb4d84ef6e4f140276f9c4b4d9ed
35694e182cc565093dcfe793643749dcc11d1cbb 6f91311b6432cc12e8c9b65f7cf0291f7261edff
982effc845287ccbb7c2b069b70d58e5a433a34f 7657c737fe383147477d99bb45da7305377da2f9
9644d598fb2451f3610601c96cfd11a13b9c1c59 71507f30bb4ee5cc8bafee37f2437a2296805768
1e01770ae3ed861e0b8106d8aded712f7106fa3b 44525444e82c396c2e339204b838afbde07c7833
8aa6d9aa1491db5758ffc10a2260751304f30ba3 ebfbb5aba0a003f19fa8ee8f5d226bf094d6ffb1
075cb9c2eddbdd7981bd6835e9090d6605125d8d f0b9d7ef4c08c91bb061f7027ca5d99bb04a89c0
71438b93c5ee52f1615d73b92080d05439656e90 46e78a7802a6717c0c75a84e878f1e13ab6b975d
f009e1ab70eaa6cca4739cc77d7b6bd6f8b2ac6f cf3216ba60960575f0a34509092df745a86e99ff
f067f5d4ad7f7132e958de09e1990ec19d659cd6 9e285b3a66b9772c70901d33772b906f1fedd5c4
96ba0f587ad5842c24456f1082ca2ae1fd2c08ad e0a4851304880df4fe40d9ec80857f6696edfb15
a234bb734f4ce62393669d68ea5f483d01903fc7 6ca3101681d940adb3633b18c72d96d5ffa834b1
7753815d13609855264db4746719fcc9e2be5ec9 aedeac9289a5cf40c51712cb3ee8488dd862f408
d3238ddb8cb4ea748a59e2e3abfa11d5f73e2ef8 14c785325d2e5a26084a5ff22bd2c6ef804fdde1
5f1febc4903a1f143d7bcf27a9c8989e3ded6bf1 38286ad6cdd767a8dbf17e11a7e9c29e874fe9a1
